Location,Quintiles,Value
Pakistan,Bottom two,54
Pakistan,Top Two,52
Punjab,Bottom two,64
Punjab,Top Two,55
Sindh,Bottom two,68
Sindh,Top Two,41
KPK,Bottom two,33
KPK,Top Two,62
Balochistan,Bottom two,13
Balochistan,Top Two,21
